    Residual          Y-hat        Observation
   -0.471290         18.7504         18.2791    
   -0.626420         20.2163         19.5899    
     1.10655         21.0795         22.1860    
    0.368926         20.2710         20.6399    
   -0.329281         19.2906         18.9613    
   -0.711291         19.0870         18.3757    
    -1.25958         18.4860         17.2265    
    0.686922         20.6195         21.3064    
    0.944490         20.3907         21.3352    
    -1.65896         19.9204         18.2614    
   -0.563518         19.4798         18.9163    
    0.547047         20.1347         20.6817    
   -0.172153         19.5394         19.3673    
   -0.339410         19.1209         18.7815    
    0.261026         19.9489         20.2100    
    0.432210         20.3403         20.7725    
   -0.501000         19.1938         18.6928    
   -0.463711         19.3584         18.8947    
    -1.01799         18.7508         17.7328    
    0.636823E-01     19.3212         19.3849    
   -0.434191         19.6965         19.2623    
   -0.210714         19.4325         19.2218    
    0.154795         20.0363         20.1911    
    0.131228E-01     17.9467         17.9598    
    0.491273         20.4051         20.8963    
    0.246420         20.9246         21.1710    
    0.774198         19.8636         20.6378    
     1.39637         21.3971         22.7935    
    0.529191         19.7249         20.2541    
    0.680735E-01     20.7014         20.7694    
    0.282595         20.1764         20.4589    
    0.392937         21.2541         21.6471    
   -0.444437E-01     19.3400         19.2956    
    0.616601E-01     19.9565         20.0182    
    0.503882         20.6636         21.1675    
   -0.882382         18.8995         18.0171    
     1.17752         20.5623         21.7398    
    0.263502         19.1227         19.3862    
    0.609327         20.6776         21.2869    
    0.507070         20.6677         21.1748    
    0.201697         20.0877         20.2894    
   -0.765071         19.1287         18.3636    
    0.514411         20.0655         20.5799    
    0.457893E-01     19.9168         19.9626    
   -0.753022         20.2789         19.5259    
   -0.814738         19.7617         18.9470    
    0.135714         20.0154         20.1511    
    0.757128         20.6965         21.4536    
    -1.01327         20.2937         19.2805    
    0.121434         19.3373         19.4587    
   -0.423394         19.5872         19.1638    
    0.489993         20.3540         20.8440    
   -0.129827         19.2987         19.1688    
    0.159332         20.0413         20.2006    
   -0.811458         18.8728         18.0613    
   -0.187530         20.5647         20.3771    
    0.582088         20.5046         21.0867    
     1.14100         20.5927         21.7337    
   -0.790415         19.0003         18.2099    
    0.197644         19.9578         20.1555    
    0.354934         20.4985         20.8534    
    0.468784         20.3804         20.8492    
    0.276117         20.1693         20.4454    
    0.210720         20.0976         20.3083    
   -0.153602         19.5746         19.4210    
    0.567330         19.9157         20.4830    
    0.342339         20.2418         20.5842    
    0.340401         19.6268         19.9672    
    0.689060         20.6219         21.3109    
    0.210315E-01     20.1205         20.1416    
   -0.751042         19.0434         18.2924    
    0.934690         20.8911         21.8258    
   -0.896487         18.8840         17.9875    
    0.297486         19.6710         19.9685    
   -0.137945E-01     19.8515         19.8377    
   -0.180927         19.8284         19.6474    
   -0.267921         19.5730         19.3050    
    0.411160         20.3173         20.7284    
    0.627304         20.5542         21.1815    
   -0.636688         18.9786         18.3419    
     1.44981         21.1568         22.6066    
    0.246289         19.7036         19.9499    
    -1.14745         18.6089         17.4615    
    0.168459         19.8356         20.0041    
    0.286834         20.1356         20.4224    
     1.25488         21.3193         22.5741    
    0.466702         20.5887         21.0554    
    -1.07194         18.6917         17.6198    
   -0.389399         19.4398         19.0504    
    0.218926E-01     19.8906         19.9125    
    0.273924         20.1476         20.4215    
     1.14493         21.2378         22.3827    
    0.764497E-01     19.4819         19.5583    
    0.899225         20.3647         21.2639    
    0.854290         21.2890         22.1433    
   -0.678280E-01     18.4503         18.3825    
    0.340463         20.2398         20.5802    
    0.702001E-01     19.1761         19.2463    
   -0.993852E-01     19.7577         19.6583    
    0.191925E-01     20.0191         20.0383    
    0.748495         20.4242         21.1727    
    0.844733         20.7417         21.5865    
    0.595217         20.0740         20.6692    
   -0.551470         19.4676         18.9161    
    0.270964         20.1636         20.4346    
   -0.787235         20.6645         19.8772    
   -0.820640         18.9671         18.1465    
   -0.287428         19.0032         18.7158    
    0.167006E-01     20.5143         20.5310    
   -0.170398         20.6910         20.5206    
   -0.174856E-01     20.2612         20.2437    
   -0.272785         18.6652         18.3924    
    0.728320         20.0665         20.7948    
    0.864852E-01     19.8229         19.9094    
   -0.629125         20.4855         19.8564    
     1.15800         22.1046         23.2626    
   -0.302124         19.5355         19.2333    
   -0.268639         19.5722         19.3035    
    0.871467E-01     19.9621         20.0493    
    0.442069         20.0820         20.5241    
    0.982736E-01     19.9743         20.0726    
    0.139235         19.2777         19.4169    
    0.679323         20.6112         21.2905    
    0.713583         20.7343         21.4478    
    0.273763         20.2433         20.5171    
   -0.157147         20.0627         19.9055    
    0.178152         20.0619         20.2400    
     1.11184         19.9279         21.0398    
    0.496128         20.4465         20.9426    
    0.565151         20.4861         21.0512    
     1.19724         21.4424         22.6397    
   -0.579620         19.7691         19.1895    
   -0.313355E-01     18.7905         18.7592    
   -0.130848         19.7232         19.5924    
    -1.07338         19.5618         18.4885    
   -0.299788         19.5380         19.2382    
    0.504539         20.4196         20.9242    
   -0.177448         19.5992         19.4218    
    0.118387         19.3881         19.5065    
    0.302669         20.1984         20.5010    
   -0.420377         19.6098         19.1894    
    0.620774         20.5470         21.1678    
    0.878081E-02     19.5915         19.6003    
    -1.22414         18.5249         17.3007    
   -0.152807         19.1789         19.0261    
   -0.202675         19.6445         19.4418    
    0.323375         19.4728         19.7962    
    0.176181         20.0535         20.2297    
   -0.680024         19.0626         18.3825    
   -0.280894         19.5587         19.2778    
    0.665527         20.2971         20.9626    
    0.819074E-01     19.9564         20.0383    
   -0.686155         19.1146         18.4284    
   -0.393075         19.4358         19.0427    
    0.193331         20.0785         20.2718    
    0.658731         20.5886         21.2473    
    0.138126         19.1235         19.2617    
   -0.802849         18.9866         18.1838    
   -0.420632E-01     19.8205         19.7784    
    0.135322         20.0149         20.1503    
   -0.530402E-02     19.8608         19.8555    
   -0.122170         19.7327         19.6105    
   -0.192056         19.5251         19.3331    
   -0.577546         19.2336         18.6560    
   -0.622270E-01     19.7984         19.7362    
   -0.399050         19.4292         19.0302    
    0.529215         20.2866         20.8158    
     1.22094         21.1581         22.3791    
   -0.317172E-01     19.8319         19.8001    
    -1.28107         18.4625         17.1814    
    0.920085         20.7730         21.6931    
    0.150112         19.9090         20.0592    
   -0.810365         19.1599         18.3496    
    0.945834         20.6384         21.5842    
   -0.620885         19.5509         18.9300    
    -1.31595         18.3186         17.0026    
    0.946909E-01     19.9704         20.0651    
   -0.877373         18.9028         18.0254    
    0.228087         19.9745         20.2026    
    0.919498         20.8744         21.7939    
   -0.845137         18.9403         18.0952    
    0.305320         19.8018         20.1072    
    0.116588         17.9655         18.0821    
   -0.729301         19.0673         18.3380    
    0.438706         20.6533         21.0920    
    0.344908E-02     18.9380         18.9414    
   -0.336985         19.4973         19.1603    
   -0.301670         19.5360         19.2343    
    0.298242         20.9190         21.2173    
    -1.16281         18.5921         17.4293    
   -0.895528         19.3443         18.4488    
    0.247607         20.1380         20.3856    
   -0.152446         20.1663         20.0139    
   -0.393288         19.4355         19.0423    
     1.34059         21.3360         22.6766    
   -0.834027         18.5070         17.6730    
   -0.700141         18.8126         18.1124    
    0.761562         20.4862         21.2478    
    0.221387         19.2272         19.4485    
   -0.659026E-01     19.8968         19.8309    
   -0.522714         19.6940         19.1713    
    0.567103         20.9123         21.4794    
   -0.346365         19.4870         19.1406    
    0.591826         20.5153         21.1071    
   -0.367738         19.4771         19.1094    
   -0.715663         19.0822         18.3665    
     1.14127         20.9702         22.1115    
   -0.260693         19.5809         19.3202    
    -1.49271         18.2305         16.7378    
   -0.219636         19.6259         19.4062    
    -1.80840         17.8845         16.0761    
    0.963914E-01     19.9723         20.0687    
    0.611981         20.5374         21.1494    
    0.584653         20.9041         21.4888    
    0.981280         20.9421         21.9234    
   -0.376590         19.4220         19.0454    
   -0.123018         20.9007         20.7777    
    0.290674         20.2303         20.5210    
    0.551905         20.4715         21.0234    
   -0.155643         19.6960         19.5404    
   -0.313296         18.9856         18.6723    
